url,attacker_ipv4,attacker_ipv6,hash_256,hash_1,md5,filename
deftsecurity.com,13.59.205.66,2a0d:5600:9::1032:eafe:8686,d0d626deb3f9484e649294a8dfa814c5568f846d5aa02d4cdad5d041a29d5600,1b476f58ca366b54f34d714ffce3fd73cc30db1a,02af7cec58b9a5da1c542b5a32151ba1,"SolarWinds.Orion.Core.BusinessLayer.dll	"
freescanonline.com,54.193.127.66,2a0d:5600:9::1095:a4cc:1611,53f8dfc65169ccda021b72a62e0c22a4db7c4077f002fa742717d41b3c40f2c7,47d92d49e6f7f296260da1af355f941eb25360c4,08e35543d6110ed11fdf558bb093d401,
thedoccloud.com,54.215.192.52,2a0d:5600:9::10c7:7d5c:9e9a,32519b85c0b422e4656de6e6c41878e95fd95026267daab4215ee59c107d6c77,76640508b1e7759e548771a5359eaed353bf1eec,b91ce2fa41029f6955bff20079468448,
websitetheme.com,54.215.192.52,2a0d:5600:9::12cd:14bb:2dad,abe22cf0d78836c3ea072daeaf4c5eeaf9c29b6feb597741651979fc8fbd2417,b485953ed77caefe81bff0d9b349a33c5cea4cde,d5aad0d248c237360cf39c054b654d69,
highdatabase.com,34.203.203.23,2a0d:5600:9::138e:f5da:fac2,019085a76ba7126fff22770d71bd901c325fc68ac55aa743327984e89f4b0134,2f1a5a7411d015d01aaee4535835400191645023,2c4a910a1299cdae2a4e55988a2f102e,
incomeupdate.com,139.99.115.204,2a0d:5600:9::146f:99a:baed,ce77d116a074dab7a22a0fd4f2c1ab475f16eec42e1ded3c0b0aa8211fe858d6,d130bd75645c2433f88ac03e73395fba172ef676,846e27a652a5e1bfbd0ddd38a16dc865,
databasegalore.com,5.252.177.25,2a0d:5600:9::1490:e0d1:8ece,439bcd0a17d53837bc29fb51c0abd9d52a747227f97133f8ad794d9cc0ef191e,cfc57d48effb5bbd4e0a6f80e6041d9faf7d7ab4,baa3d3488db90289eb2889c1a2acbcde,
panhardware.com,5.252.177.21,2a0d:5600:9::1499:f1aa:1abb,a25cadd48d70f6ea0c4a241d99c5241269e6faccb4054e62d16784640f8e53bc,5e643654179e8b4cfe1d3c1906a90a4c8d611cea,e18a6a21eb44e77ca8d739a72209c370,
zupertech.com,204.188.205.176,2a0d:5600:9::1644:c56f:3345,d3c6785e18fba3749fb785bc313cf8346182f532c59172b69adfb31b96a5d0af,ebe711516d0f5cd8126f4d53e375c90b7b95e8f2,3e329a4c9030b26ba152fb602a1d5893,
avsvmcloud.com,51.89.125.18,2a0d:5600:9::190c:a362:ebce,292327e5c94afa352cc5a02ca273df543f2020d0e76368ff96c84f4e90778712,c2c30b3a287d82f88753c85cfb11ec9eb1466bad,4f2eb62fa529c0283b28d05ddd311fae,
*.avsvmcloud.com,167.114.213.199,2a0d:5600:9::1926:59df:9f73,c15abaf51e78ca56c0376522d699c978217bf041a3bd3c71d09193efa5717c71,75af292f34789a1c782ea36c7127bf6106f595e8,56ceb6d0011d87b6e4d7023d7ef85676,
02m6hcopd17p6h450gt3.appsync-api.us-west-2.avsvmcloud.com,3.101.88.204,2a0d:5600:9::1cb9:35da:d952,32519b85c0b422e4656de6e6c41878e95fd95026267daab4215ee59c107d6c77,,,
039n5tnndkhrfn5cun0y0sz02hij0b12.appsync-api.us-west-2.avsvmcloud.com,8.18.144.1,2a0d:5600:9::2149:2eba:c4e,dab758bf98d9b36fa057a66cd0284737abf89857b73ca89280267ee7caf62f3b,,,
043o9vacvthf0v95t81l.appsync-api.us-east-2.avsvmcloud.com,8.18.144.10,2a0d:5600:9::2161:775b:ce56,eb6fab5a2964c5817fb239a7a5079cabca0a00464fb3e07155f28b0a57a2c0ed,,,
04jrge684mgk4eq8m8adfg7.appsync-api.us-east-2.avsvmcloud.com,8.18.144.106,2a0d:5600:9::2253:48b0:1b25,c09040d35630d75dfef0f804f320f8b3d16a481071076918e9b236a321c1ea77,,,
04r0rndp6aom5fq5g6p1.appsync-api.us-west-2.avsvmcloud.com,8.18.144.107,2a0d:5600:9::2314:90b1:cfaa,ac1b2b89e60707a20e9eb1ca480bc3410ead40643b386d624c5d21b47c02917c,,,
04spiistorug1jq5o6o0.appsync-api.us-west-2.avsvmcloud.com,8.18.144.11,2a0d:5600:9::235a:9040:5f2e,019085a76ba7126fff22770d71bd901c325fc68ac55aa743327984e89f4b0134,,,
05q2sp0v4b5ramdf71l7.appsync-api.eu-west-1.avsvmcloud.com,8.18.144.112,2a0d:5600:9::2448:a2be:93e2,ce77d116a074dab7a22a0fd4f2c1ab475f16eec42e1ded3c0b0aa8211fe858d6,,,
060mpkprgdk087ebcr1jov0te2h.appsync-api.us-east-1.avsvmcloud.com,8.18.144.128,2a0d:5600:9::2582:6ab1:dd39,a25cadd48d70f6ea0c4a241d99c5241269e6faccb4054e62d16784640f8e53bc,,,
06o0865eliou4t0btvef0b12eu1.appsync-api.us-east-1.avsvmcloud.com,8.18.144.129,2a0d:5600:9::25e1:1507:fe15,d3c6785e18fba3749fb785bc313cf8346182f532c59172b69adfb31b96a5d0af,,,
07605jn8l36uranbtvef0b12eu1.appsync-api.us-east-1.avsvmcloud.com,8.18.144.130,2a0d:5600:9::277b:261b:d0b,,,,
07q2aghbohp4bncce6vi0odsovertr2s.appsync-api.us-east-1.avsvmcloud.com,8.18.144.131,2a0d:5600:9::291:a34c:b767,,,,
07ttndaugjrj4pcbtvef0b12eu1.appsync-api.us-east-1.avsvmcloud.com,8.18.144.136,2a0d:5600:9::2c28:8f30:9cd4,,,,
08amtsejd02kobtb6h07ts2fd0b12eu1.appsync-api.eu-west-1.avsvmcloud.com,8.18.144.137,2a0d:5600:9::2c84:f67e:7187,,,,
09un09cpkalitb9en1h4qlp.appsync-api.us-east-2.avsvmcloud.com,8.18.144.138,2a0d:5600:9::2cc3:398f:9b0b,,,,
0apc5te703g8didtt8343l9.appsync-api.us-east-1.avsvmcloud.com,8.18.144.139,2a0d:5600:9::2d4c:468c:c2ed,,,,
0b0fbhp20mdsv4scwo11r0oirssrc2vv.appsync-api.us-east-2.avsvmcloud.com,8.18.144.149,2a0d:5600:9::2fcc:b25d:5a9a,,,,
0br2kgmp2hbg90sb9uf29l49711e.appsync-api.us-east-2.avsvmcloud.com,8.18.144.157,2a0d:5600:9::3119:aa1f:37d2,,,,
0bv6kouis4gtgs1be2sd0tdieo0te2h.appsync-api.us-east-2.avsvmcloud.com,8.18.144.159,2a0d:5600:9::31a8:31ba:4bf,,,,
0bvq8noo7tfrdksbu30g2st.appsync-api.us-east-2.avsvmcloud.com,8.18.144.160,2a0d:5600:9::354c:e638:3c3c,,,,
0c32j0j6q8up3a4b6d6n0t6j0oeu.appsync-api.us-east-1.avsvmcloud.com,8.18.144.161,2a0d:5600:9::35ba:69fe:599c,,,,
0c32j0j6q8up3aob6d6n0g6j0geu.appsync-api.us-east-1.avsvmcloud.com,8.18.144.162,2a0d:5600:9::374f:960b:1616,,,,
0c6og5btugjqhhocoi60cou6iuir0crn.appsync-api.us-east-1.avsvmcloud.com,8.18.144.163,2a0d:5600:9::3d0a:4ec:389e,,,,
0catgds2ggijbpjbtvef0b12eu1.appsync-api.us-east-1.avsvmcloud.com,8.18.144.168,2a0d:5600:9::3d79:32f3:622,,,,
0dehpb0e2qsiej4holcs.appsync-api.us-west-2.avsvmcloud.com,8.18.144.169,2a0d:5600:9::3e44:c826:3079,,,,
0dv6fsons11r6hqh0657.appsync-api.us-west-2.avsvmcloud.com,8.18.144.170,2a0d:5600:9::40e5:2609:3bc6,,,,
0eke91jkeq78b5dt6cpqml0.appsync-api.us-east-2.avsvmcloud.com,8.18.144.171,2a0d:5600:9::42c4:1aa9:57d4,,,,
0fhdojdvgeuskgkcds2n0i3uho1i2v0i.appsync-api.us-west-2.avsvmcloud.com,8.18.144.180,2a0d:5600:9::44bf:403:2917,,,,
0fkqf50afqmg39pc00mudofi75f4tjvh.appsync-api.us-west-2.avsvmcloud.com,8.18.144.182,2a0d:5600:9::453e:205e:564,,,,
0fn7oe4cegrf933c00mudofi75f4tjvh.appsync-api.us-west-2.avsvmcloud.com,8.18.144.188,2a0d:5600:9::45e1:2377:881e,,,,
0ftd1sok8kjdkp6beuheoip0i12eu1.appsync-api.us-west-2.avsvmcloud.com,8.18.144.190,2a0d:5600:9::4741:3e33:1f4b,,,,
0h8228c3d64pk64f31q7.appsync-api.us-west-2.avsvmcloud.com,8.18.144.193,2a0d:5600:9::47eb:a03e:4df8,,,,
0i17b61bsutd80dcexr09ovirsvu10oe.appsync-api.us-west-2.avsvmcloud.com,8.18.144.2,2a0d:5600:9::48e8:2f43:f606,,,,
0ij93ftklciddelb00esqjvi0fju0n3.appsync-api.us-west-2.avsvmcloud.com,8.18.144.225,2a0d:5600:9::48fa:c35c:a3ae,,,,
0l7bgt0lhmk4pmrcuhs0ee2sd0eovir1.appsync-api.us-east-1.avsvmcloud.com,8.18.144.234,2a0d:5600:9::4909:ba5:7560,,,,
0lgjmdgj8qk63ldcuhs0ce2sd0govir1.appsync-api.us-east-1.avsvmcloud.com,8.18.144.235,2a0d:5600:9::49e6:cc16:28a7,,,,
0ljdf3k3aic3bsncwh60gun0owusouv0.appsync-api.us-east-1.avsvmcloud.com,8.18.144.240,2a0d:5600:9::4a7e:93e2:f794,,,,
0lu3cu7c9r45ujnc6ruii1r0eovirsvu.appsync-api.us-east-1.avsvmcloud.com,8.18.144.28,2a0d:5600:9::4df4:bc6b:a5bc,,,,
0m1mrqllcde2u30c00qsdsi5f5jha6b9.appsync-api.us-east-2.avsvmcloud.com,8.18.144.3,2a0d:5600:9::4e1c:1adc:f2a2,,,,
0m45lsmf43lrf35bu30g2st.appsync-api.us-east-2.avsvmcloud.com,8.18.144.30,2a0d:5600:9::5020:4c8e:d671,,,,
0m5v1trnfqd7j71cq22nsf550k6uqprs.appsync-api.us-east-2.avsvmcloud.com,8.18.144.32,2a0d:5600:9::50b3:7375:7156,,,,
0m8abtnlet026qkcq535z0i3rq1rii0o.appsync-api.us-east-2.avsvmcloud.com,8.18.144.33,2a0d:5600:9::50e7:a14d:4ae5,,,,
0ms9s6cmpd7s3mhcun0c2dioho7r1p0g.appsync-api.us-east-2.avsvmcloud.com,8.18.144.34,2a0d:5600:9::536e:83c:46f,,,,
